Record_ID,Date,Country,Population,New_Cases,New_Deaths,Recovered,Active_Cases,Tests_Conducted,Vaccinations,Positivity_Rate,Hospitalized,ICU_Patients
1,2020-01-01,UK,172644825,7296,25,1222.0,6074,94848,65737657.0,0.0769,1143.0,377
2,2020-01-02,Japan,28513338,44348,758,8607.0,35741,310436,19813640.0,0.1429,2082.0,15
3,2020-01-03,UK,26151125,14328,238,6049.0,8279,71640,18832259.0,0.2,11731.0,332
4,2020-01-04,Germany,189260488,35713,429,21267.0,14446,678547,158179802.0,0.0526,425.0,388
5,2020-01-05,UK,43858220,45753,432,23455.0,22298,594789,10434052.0,0.0769,22059.0,52
6,2020-01-06,Germany,25896273,24898,99,13135.0,11763,398368,20257684.0,0.0625,1423.0,373
7,2020-01-07,Germany,124325926,35142,127,10335.0,24807,245994,74093639.0,0.1429,23700.0,295
8,2020-01-08,Germany,52617074,46174,71,43171.0,3003,554088,51879738.0,0.0833,5229.0,437
9,2020-01-09,Canada,63489327,6619,389,4342.0,2277,125761,42660060.0,0.0526,1332.0,189
10,2020-01-10,Brazil,96367253,13730,686,9356.0,4374,96110,81756179.0,0.1429,8751.0,373
11,2020-01-11,France,66715932,10708,473,4492.0,6216,139204,66405787.0,0.0769,3598.0,350
12,2020-01-12,Japan,88048983,3665,234,299.0,3366,21990,42339391.0,0.1667,1096.0,33
13,2020-01-13,Australia,57635274,37170,897,16548.0,20622,408870,43985744.0,0.0909,25928.0,452
14,2020-01-14,France,173564235,30071,146,21392.0,8679,270639,66203567.0,0.1111,17661.0,134
15,2020-01-15,UK,157923607,28077,919,8956.0,19121,477309,97172681.0,0.0588,4532.0,260
16,2020-01-16,Brazil,133477149,5957,773,5572.0,385,47656,20514014.0,0.125,5574.0,216
17,2020-01-17,Germany,161097331,4163,394,1037.0,3126,79097,142033050.0,0.0526,94.0,348
18,2020-01-18,Canada,194467291,7507,698,259.0,7248,97591,172056873.0,0.0769,913.0,150
19,2020-01-19,Brazil,117706409,10365,464,10312.0,53,134745,67187530.0,0.0769,8317.0,467
20,2020-01-20,Canada,29564437,40979,305,7709.0,33270,450769,5128434.0,0.0909,10587.0,276
21,2020-01-21,Canada,143365729,37,20,6.0,31,185,30029263.0,0.2,19.0,122
22,2020-01-22,Australia,16549169,15785,899,6490.0,9295,110495,1437026.0,0.1429,13369.0,35
23,2020-01-23,France,143997222,8241,131,454.0,7787,82410,71150596.0,0.1,6932.0,493
24,2020-01-24,Canada,57854146,35343,773,22161.0,13182,494802,26775919.0,0.0714,28711.0,460
25,2020-01-25,Canada,139935707,29588,123,21465.0,8123,355056,17186821.0,0.0833,689.0,301
26,2020-01-26,India,149692176,15080,602,11472.0,3608,75400,19057061.0,0.2,3750.0,34
27,2020-01-27,Australia,9432351,21654,72,4807.0,16847,259848,4672073.0,0.0833,7020.0,276
28,2020-01-28,Australia,36517190,47405,957,9982.0,37423,948100,16307268.0,0.05,26677.0,97
29,2020-01-29,Japan,26320389,6352,674,2821.0,3531,101632,14212940.0,0.0625,3825.0,442
30,2020-01-30,Japan,196709809,3550,689,874.0,2676,28400,16270590.0,0.125,2982.0,173
31,2020-01-31,Japan,30331682,16295,196,13179.0,3116,309605,4703737.0,0.0526,3006.0,142
32,2020-02-01,France,125185777,16371,895,1245.0,15126,114597,59476001.0,0.1429,1604.0,25
33,2020-02-02,Brazil,176058811,35427,856,34460.0,967,247989,63452636.0,0.1429,26634.0,248
34,2020-02-03,Japan,130213667,14008,885,7438.0,6570,84048,22097220.0,0.1667,35.0,199
35,2020-02-04,UK,72189903,29819,292,15958.0,13861,596380,20776478.0,0.05,9722.0,111
36,2020-02-05,Canada,16698989,37957,753,2424.0,35533,227742,12548947.0,0.1667,3746.0,25
37,2020-02-06,France,157813979,31246,514,1120.0,30126,312460,15268494.0,0.1,2625.0,435
38,2020-02-07,USA,50882009,4490,609,3934.0,556,53880,27096918.0,0.0833,2016.0,296
39,2020-02-08,Italy,160590021,2604,634,2269.0,335,46872,156678336.0,0.0556,2141.0,161
40,2020-02-09,Germany,70998758,13386,685,1652.0,11734,200790,32035886.0,0.0667,6484.0,67
41,2020-02-10,India,181305471,42303,307,12339.0,29964,634545,19473144.0,0.0667,30034.0,318
42,2020-02-11,Germany,152127454,6552,75,2148.0,4404,72072,135797388.0,0.0909,1085.0,477
43,2020-02-12,Brazil,94686345,4508,900,2507.0,2001,72128,38250360.0,0.0625,3589.0,426
44,2020-02-13,USA,146818960,46107,309,6021.0,40086,230535,80363870.0,0.2,8800.0,135
45,2020-02-14,Germany,31985146,7014,760,2482.0,4532,63126,9138489.0,0.1111,4954.0,107
46,2020-02-15,Australia,193632554,22471,208,1689.0,20782,292123,135669711.0,0.0769,8228.0,463
47,2020-02-16,India,14636224,6048,649,2579.0,3469,78624,739653.0,0.0769,2732.0,394
48,2020-02-17,France,36116634,41753,268,31164.0,10589,793307,28701583.0,0.0526,633.0,57
49,2020-02-18,Italy,21198118,45286,925,35518.0,9768,271716,12388832.0,0.1667,36210.0,75
50,2020-02-19,India,116369993,8352,42,3302.0,5050,133632,106853726.0,0.0625,5862.0,107
51,2020-02-20,Japan,184090883,16353,682,14669.0,1684,261648,150292587.0,0.0625,15955.0,317
52,2020-02-21,India,42487595,15514,885,12852.0,2662,155140,27668609.0,0.1,2938.0,377
53,2020-02-22,Brazil,90170356,26982,821,5031.0,21951,323784,35810056.0,0.0833,25800.0,359
54,2020-02-23,UK,30016698,25070,893,23802.0,1268,501400,7463637.0,0.05,15083.0,179
55,2020-02-24,Canada,82924049,14915,228,14528.0,387,164065,53481198.0,0.0909,4564.0,442
56,2020-02-25,Canada,19634991,18292,359,1600.0,16692,310964,17992414.0,0.0588,904.0,59
57,2020-02-26,Italy,71119420,11702,594,7353.0,4349,70212,14549543.0,0.1667,7119.0,176
58,2020-02-27,Italy,196567325,20557,446,693.0,19864,164456,103400110.0,0.125,6228.0,130
59,2020-02-28,Japan,12914918,46450,446,46340.0,110,510950,6110622.0,0.0909,4585.0,485
60,2020-02-29,France,179304945,21639,638,11353.0,10286,173112,80617145.0,0.125,10134.0,341
61,2020-03-01,Japan,110627137,21376,412,11688.0,9688,192384,25748341.0,0.1111,12423.0,346
62,2020-03-02,India,47715108,40338,582,20615.0,19723,685746,36771443.0,0.0588,19914.0,146
63,2020-03-03,Australia,57420484,28173,804,9169.0,19004,422595,31204829.0,0.0667,14488.0,345
64,2020-03-04,France,58365033,33500,484,22380.0,11120,234500,19044583.0,0.1429,21966.0,47
65,2020-03-05,India,64047058,44092,317,29370.0,14722,485012,9888757.0,0.0909,3028.0,125
66,2020-03-06,Italy,128543440,40060,870,35288.0,4772,761140,55625330.0,0.0526,12742.0,367
67,2020-03-07,India,187926170,25164,506,12069.0,13095,301968,39613380.0,0.0833,24607.0,440
68,2020-03-08,France,29611809,27862,224,22099.0,5763,529378,1685049.0,0.0526,8165.0,469
69,2020-03-09,Australia,33576951,29914,136,3654.0,26260,568366,21293505.0,0.0526,20075.0,417
70,2020-03-10,Australia,194078632,33081,436,3858.0,29223,330810,127419448.0,0.1,16986.0,384
71,2020-03-11,Germany,67367911,41789,283,7626.0,34163,835780,32111036.0,0.05,28827.0,39
72,2020-03-12,France,192540741,18725,240,9822.0,8903,280875,85821382.0,0.0667,2640.0,70
73,2020-03-13,USA,41488297,15155,392,3786.0,11369,136395,14358134.0,0.1111,6797.0,208
74,2020-03-14,Japan,89820296,35560,477,8312.0,27248,213360,27760841.0,0.1667,25524.0,463
75,2020-03-15,India,157787623,45581,20,7853.0,37728,774877,128038272.0,0.0588,23052.0,152
76,2020-03-16,UK,105686243,27460,551,2966.0,24494,329520,65529051.0,0.0833,8943.0,223
77,2020-03-17,Brazil,131363531,1902,398,1214.0,688,32334,97197979.0,0.0588,1721.0,239
78,2020-03-18,USA,35259824,40780,546,39013.0,1767,693260,1818787.0,0.0588,28089.0,69
79,2020-03-19,UK,124936233,11909,51,7647.0,4262,202453,43936531.0,0.0588,7449.0,167
80,2020-03-20,Germany,91597113,49887,900,,24846,648531,,0.0769,,240
81,2020-03-21,USA,6203160,49088,552,45675.0,3413,785408,1880911.0,0.0625,42713.0,20
82,2020-03-22,UK,9329551,16205,204,2456.0,13749,81025,2556551.0,0.2,2068.0,242
83,2020-03-23,Canada,180706491,7496,577,5711.0,1785,142424,68784893.0,0.0526,1374.0,310
84,2020-03-24,USA,164006756,49016,735,41510.0,7506,490160,83493874.0,0.1,37924.0,13
85,2020-03-25,USA,84740385,37735,693,13139.0,24596,641495,26619372.0,0.0588,15915.0,52
86,2020-03-26,India,188151321,19764,870,90.0,19674,158112,151916362.0,0.125,11377.0,272
87,2020-03-27,Japan,115991846,43353,379,38834.0,4519,650295,1698142.0,0.0667,32125.0,54
88,2020-03-28,Brazil,117373051,23736,650,8672.0,15064,213624,58450095.0,0.1111,17096.0,494
89,2020-03-29,Japan,175605833,17700,630,66.0,17634,354000,124788603.0,0.05,8794.0,165
90,2020-03-30,Australia,66899606,5679,285,1987.0,3692,68148,50363610.0,0.0833,4668.0,312
91,2020-03-31,Brazil,180365476,24837,344,23897.0,940,496740,87245326.0,0.05,15976.0,108
92,2020-04-01,India,96247600,16931,348,7768.0,9163,220103,74597009.0,0.0769,16928.0,485
93,2020-04-02,UK,52286319,5610,247,2281.0,3329,112200,37257244.0,0.05,3900.0,330
94,2020-04-03,Germany,192083740,32166,458,6184.0,25982,160830,24978818.0,0.2,7261.0,207
95,2020-04-04,France,186700200,15945,313,5067.0,10878,255120,127039895.0,0.0625,8698.0,176
96,2020-04-05,Australia,115220309,48885,563,27207.0,21678,782160,94335593.0,0.0625,17754.0,156
97,2020-04-06,USA,68485660,15108,123,3291.0,11817,166188,42352128.0,0.0909,12171.0,274
98,2020-04-07,Italy,186264368,12133,196,8588.0,3545,242660,74222303.0,0.05,8595.0,305
99,2020-04-08,Canada,76966884,6588,852,,1590,92232,,0.0714,,154
100,2020-04-09,India,4797922,46400,546,38105.0,8295,603200,381813.0,0.0769,36264.0,149
101,2020-04-10,Italy,188211554,8275,653,233.0,8042,66200,3292468.0,0.125,4658.0,240
102,2020-04-11,Australia,129503866,28866,348,22825.0,6041,173196,33887075.0,0.1667,3738.0,420
103,2020-04-12,Brazil,18540494,26260,503,23833.0,2427,157560,5091113.0,0.1667,18443.0,485
104,2020-04-13,Italy,82560225,5582,254,4612.0,970,100476,81378577.0,0.0556,5066.0,115
105,2020-04-14,Germany,141276996,24928,461,10421.0,14507,348992,115113132.0,0.0714,18632.0,317
106,2020-04-15,Germany,17167949,39952,983,33449.0,6503,439472,7080830.0,0.0909,5320.0,80
107,2020-04-16,Japan,65388318,11391,565,10162.0,1229,113910,179564.0,0.1,7381.0,352
108,2020-04-17,Germany,160399978,30796,298,29727.0,1069,369552,77337566.0,0.0833,23035.0,440
109,2020-04-18,Italy,122878106,4664,703,2752.0,1912,60632,105740487.0,0.0769,1620.0,217
110,2020-04-19,Brazil,31810028,35688,230,25924.0,9764,463944,27737139.0,0.0769,4679.0,30
111,2020-04-20,USA,45539558,20159,609,1508.0,18651,282226,29471089.0,0.0714,15358.0,352
112,2020-04-21,USA,82628856,45857,412,28016.0,17841,917140,58755000.0,0.05,39192.0,20
113,2020-04-22,USA,116971811,48138,330,8574.0,39564,625794,3471527.0,0.0769,15002.0,492
114,2020-04-23,India,182005589,37696,601,36337.0,1359,490048,154685122.0,0.0769,11481.0,240
115,2020-04-24,Australia,140308294,42697,452,24468.0,18229,426970,117006984.0,0.1,5979.0,240
116,2020-04-25,Canada,94405085,26761,341,16241.0,10520,214088,21585546.0,0.125,13488.0,355
117,2020-04-26,USA,134001453,18888,678,5766.0,13122,113328,61045700.0,0.1667,10306.0,129
118,2020-04-27,India,87778146,7597,993,1269.0,6328,129149,69067939.0,0.0588,5387.0,445
119,2020-04-28,Canada,146651358,30276,423,28500.0,1776,333036,139167515.0,0.0909,20402.0,387
120,2020-04-29,France,134813222,40986,452,37604.0,3382,450846,71687363.0,0.0909,8586.0,474
121,2020-04-30,India,78317235,28712,901,5832.0,22880,574240,16297533.0,0.05,20644.0,311
122,2020-05-01,Japan,65235923,46516,162,26151.0,20365,232580,37060964.0,0.2,6108.0,115
123,2020-05-02,Germany,31456987,30241,969,26392.0,3849,272169,16722706.0,0.1111,16674.0,361
124,2020-05-03,Australia,74396936,27229,854,11419.0,15810,544580,32713008.0,0.05,18063.0,74
125,2020-05-04,Germany,103968087,12491,943,2671.0,9820,112419,9369750.0,0.1111,6798.0,174
126,2020-05-05,Italy,137294795,17509,840,17425.0,84,245126,80142975.0,0.0714,16044.0,443
127,2020-05-06,France,40888278,29264,551,13394.0,15870,468224,22309667.0,0.0625,24997.0,278
128,2020-05-07,UK,102256553,29841,955,19297.0,10544,328251,93616654.0,0.0909,18736.0,196
129,2020-05-08,Japan,63696440,26920,44,16494.0,10426,538400,47327041.0,0.05,12651.0,339
130,2020-05-09,Italy,176025017,9968,507,9362.0,606,89712,134832753.0,0.1111,5439.0,445
131,2020-05-10,Brazil,27941416,28855,102,11621.0,17234,548245,514979.0,0.0526,13434.0,445
