Date,City,Country,PM2.5,PM10,NO2,SO2,CO,O3,AQI,AQI_Category,Temperature_C,Humidity_pct,WindSpeed_ms,Pressure_hPa
2022-01-01,Delhi,India,155.77,194.38,61.02,21.62,,14.58,205.0,Very Unhealthy,16.5,52.5,,1007.9
2022-01-02,Delhi,India,171.72,276.43,,22.33,2.383,17.21,221.0,Very Unhealthy,17.2,47.3,5.08,1012.7
2022-01-03,Delhi,India,142.6,211.02,65.38,17.55,1.982,,196.0,Unhealthy,17.6,,,1015.6
2022-01-04,Delhi,India,206.71,223.59,49.81,15.09,2.454,29.1,256.0,Very Unhealthy,16.1,48.3,2.02,1016.9
2022-01-05,Delhi,India,168.37,266.51,48.48,19.03,2.231,23.62,218.0,Very Unhealthy,18.6,56.8,4.72,1013.4
2022-01-06,Delhi,India,155.99,270.65,41.39,,1.969,18.46,206.0,Very Unhealthy,15.7,67.0,1.94,1018.8
2022-01-07,Delhi,India,101.86,227.33,56.01,20.38,,27.04,174.0,Unhealthy,15.6,51.3,5.04,1011.9
2022-01-08,Delhi,India,113.14,,46.3,20.06,2.247,26.41,180.0,Unhealthy,15.5,56.3,4.63,1011.1
2022-01-09,Delhi,India,160.86,212.88,51.33,16.77,1.646,25.17,210.0,Very Unhealthy,15.4,55.1,4.37,1015.7
2022-01-10,Delhi,India,166.66,238.33,50.81,17.91,,13.56,216.0,Very Unhealthy,13.4,47.0,4.22,1007.6
2022-01-11,Delhi,India,138.01,301.32,51.44,20.98,1.766,21.0,193.0,Unhealthy,14.3,52.3,5.01,1002.6
2022-01-12,Delhi,India,160.4,253.61,49.31,,2.219,19.05,210.0,Very Unhealthy,17.4,55.2,6.38,1011.6
2022-01-13,Delhi,India,120.33,251.03,,23.32,2.562,24.37,184.0,,20.5,,2.35,1007.4
2022-01-14,Delhi,India,137.77,181.04,60.39,17.39,1.525,16.13,193.0,Unhealthy,17.7,61.7,7.09,1030.5
2022-01-15,Delhi,India,159.9,198.47,35.49,19.23,1.821,19.73,209.0,Very Unhealthy,,53.9,5.42,1013.9
2022-01-16,Delhi,India,144.13,196.39,39.6,16.4,2.163,32.83,197.0,Unhealthy,17.4,62.9,2.6,1005.9
2022-01-17,Delhi,India,,210.33,73.82,15.14,2.564,16.81,185.0,Unhealthy,19.5,58.1,3.22,1012.8
2022-01-18,Delhi,India,130.44,,50.56,,1.611,23.27,189.0,Unhealthy,21.2,56.3,3.29,1014.7
2022-01-19,Delhi,India,184.32,252.72,50.94,22.36,2.379,31.45,234.0,Very Unhealthy,17.8,45.2,,1022.9
2022-01-20,Delhi,India,195.76,234.69,51.17,23.69,1.687,16.88,245.0,Very Unhealthy,19.0,51.8,3.49,1012.0
2022-01-21,Delhi,India,157.58,306.0,55.41,20.61,1.261,21.96,207.0,Very Unhealthy,15.4,45.2,1.92,1011.0
2022-01-22,Delhi,India,173.41,182.86,54.85,16.38,2.035,28.28,223.0,Very Unhealthy,18.9,65.7,3.22,1008.8
2022-01-23,Delhi,India,141.98,253.32,56.13,14.11,2.222,23.65,196.0,Unhealthy,24.0,70.0,1.96,1011.3
2022-01-24,Delhi,India,107.79,215.66,57.35,22.69,1.852,18.37,178.0,Unhealthy,12.4,53.7,1.59,1009.8
2022-01-25,Delhi,India,123.82,237.83,38.65,,3.137,14.58,186.0,Unhealthy,15.1,69.7,8.73,1006.0
2022-01-26,Delhi,India,137.68,257.24,69.98,14.44,2.066,26.99,193.0,Unhealthy,19.1,52.0,3.26,1004.8
2022-01-27,Delhi,India,141.13,229.67,56.46,16.04,2.387,28.42,195.0,Unhealthy,18.5,57.8,3.6,1013.0
2022-01-28,Delhi,India,127.7,255.67,53.45,25.96,2.881,24.68,188.0,Unhealthy,16.3,46.1,5.64,1014.6
2022-01-29,Delhi,India,160.59,162.67,62.61,19.79,,19.56,210.0,Very Unhealthy,19.0,55.4,2.97,1012.4
2022-01-30,Delhi,India,140.29,247.78,67.45,8.44,2.062,23.47,195.0,Unhealthy,,,0.34,1015.0
2022-01-31,Delhi,India,,171.6,61.92,16.81,2.138,,244.0,Very Unhealthy,17.7,65.4,4.55,1023.4
2022-02-01,Delhi,India,179.24,260.08,69.77,19.67,2.535,20.69,229.0,Very Unhealthy,18.8,49.4,5.28,1005.9
2022-02-02,Delhi,India,168.18,231.42,64.54,20.82,,,218.0,Very Unhealthy,14.8,54.5,1.39,1009.9
2022-02-03,Delhi,India,188.02,268.35,47.63,14.17,2.172,15.23,238.0,Very Unhealthy,17.2,57.5,5.58,1016.7
2022-02-04,Delhi,India,83.23,253.0,54.49,19.5,2.881,10.19,165.0,Unhealthy,17.5,59.7,0.65,1021.9
2022-02-05,Delhi,India,156.14,277.02,48.62,20.97,2.631,24.0,206.0,,19.7,57.2,1.95,1012.1
2022-02-06,Delhi,India,141.58,255.79,,13.92,2.091,31.53,195.0,Unhealthy,17.4,48.4,3.86,1018.1
2022-02-07,Delhi,India,145.84,,61.29,21.02,,36.64,198.0,Unhealthy,18.9,39.0,6.39,1010.3
2022-02-08,Delhi,India,148.23,296.63,39.06,13.13,1.419,17.95,199.0,Unhealthy,20.6,59.2,4.0,1004.5
2022-02-09,Delhi,India,81.46,239.7,49.14,19.52,2.451,23.59,164.0,Unhealthy,21.5,56.8,4.45,1008.8
2022-02-10,Delhi,India,139.77,245.65,60.66,,2.366,21.21,194.0,,19.5,61.6,0.1,1005.2
2022-02-11,Delhi,India,103.66,131.3,47.07,20.53,1.999,24.04,175.0,Unhealthy,22.6,65.6,3.38,1021.1
2022-02-12,Delhi,India,146.65,198.14,47.71,12.13,1.723,20.75,198.0,Unhealthy,22.1,68.8,1.01,1015.4
2022-02-13,Delhi,India,115.19,,51.77,10.78,2.536,19.32,181.0,Unhealthy,18.9,46.4,2.32,1015.6
2022-02-14,Delhi,India,138.27,249.57,56.08,22.56,1.959,14.14,194.0,Unhealthy,23.0,52.3,5.51,1015.3
2022-02-15,Delhi,India,139.54,249.94,70.26,25.36,2.139,24.01,194.0,Unhealthy,23.2,48.2,4.1,1012.8
2022-02-16,Delhi,India,151.44,196.18,38.27,9.75,,20.36,201.0,Very Unhealthy,19.9,70.5,,1007.2
2022-02-17,Delhi,India,152.02,214.79,49.89,18.18,2.377,21.13,,Very Unhealthy,23.4,45.9,3.51,1028.6
2022-02-18,Delhi,India,148.23,297.01,53.14,,,22.2,199.0,Unhealthy,19.0,58.4,1.97,1017.0
2022-02-19,Delhi,India,171.57,248.4,49.6,19.1,1.948,28.9,221.0,Very Unhealthy,16.5,52.3,0.1,1004.0
2022-02-20,Delhi,India,178.85,271.57,45.56,11.71,0.748,20.09,228.0,Very Unhealthy,27.3,58.5,2.49,1015.8
2022-02-21,Delhi,India,98.02,217.27,52.79,16.98,2.432,25.48,172.0,Unhealthy,23.0,49.5,5.12,1022.8
2022-02-22,Delhi,India,113.87,190.05,63.77,16.53,2.702,20.82,181.0,Unhealthy,25.2,56.1,3.96,1022.4
2022-02-23,Delhi,India,130.2,186.98,47.56,18.9,1.359,27.37,189.0,Unhealthy,20.3,64.2,0.1,1008.3
2022-02-24,Delhi,India,93.35,191.47,53.67,16.48,,22.66,170.0,Unhealthy,22.3,46.9,4.77,1017.0
2022-02-25,Delhi,India,149.89,252.99,53.96,24.73,2.012,21.85,200.0,Unhealthy,20.1,46.7,1.26,1007.7
2022-02-26,Delhi,India,136.92,242.28,51.59,14.17,,28.2,193.0,Unhealthy,21.7,49.8,4.49,1014.1
2022-02-27,Delhi,India,98.6,223.46,53.32,13.61,2.124,,173.0,Unhealthy,25.6,,3.05,
2022-02-28,Delhi,India,71.7,173.74,48.16,,2.353,35.9,159.0,Unhealthy,19.5,48.3,3.92,1022.7
2022-03-01,Delhi,India,103.9,236.23,67.02,10.68,1.449,21.46,176.0,Unhealthy,21.3,61.5,3.93,1002.4
2022-03-02,Delhi,India,151.22,198.27,61.93,14.47,1.732,27.33,201.0,Very Unhealthy,24.7,58.6,0.47,1016.2
2022-03-03,Delhi,India,108.13,,37.47,18.43,1.648,16.47,178.0,Unhealthy,24.7,56.9,2.39,1021.7
2022-03-04,Delhi,India,123.97,224.13,52.53,,,21.05,186.0,Unhealthy,22.1,65.9,1.63,998.5
2022-03-05,Delhi,India,179.9,336.61,46.28,,1.857,,229.0,Very Unhealthy,22.8,46.1,4.54,1016.1
2022-03-06,Delhi,India,94.0,252.53,68.21,17.23,1.838,23.57,170.0,Unhealthy,25.0,,3.8,1010.7
2022-03-07,Delhi,India,185.41,212.4,64.57,12.38,2.246,26.43,235.0,Very Unhealthy,21.4,56.4,5.68,1011.1
2022-03-08,Delhi,India,87.55,218.61,41.24,15.17,1.938,14.38,167.0,Unhealthy,19.7,58.9,2.56,997.6
2022-03-09,Delhi,India,155.14,230.81,,,,26.8,205.0,Very Unhealthy,29.9,58.4,4.2,1012.0
2022-03-10,Delhi,India,155.49,245.81,60.24,14.37,1.763,21.93,205.0,Very Unhealthy,26.1,67.0,2.67,1010.5
2022-03-11,Delhi,India,141.13,205.75,57.35,7.82,1.579,20.21,195.0,Unhealthy,18.5,47.3,1.85,1011.8
2022-03-12,Delhi,India,162.56,204.9,39.31,15.98,2.415,19.15,212.0,Very Unhealthy,22.2,59.5,3.1,1016.9
2022-03-13,Delhi,India,131.03,246.6,39.07,16.08,1.84,17.82,190.0,Unhealthy,20.7,60.5,2.87,1006.9
2022-03-14,Delhi,India,128.21,264.88,27.65,10.45,1.512,33.99,188.0,Unhealthy,25.5,61.1,1.45,1006.3
2022-03-15,Delhi,India,142.61,,52.91,,2.044,26.28,196.0,Unhealthy,26.9,61.5,0.58,999.5
2022-03-16,Delhi,India,157.27,265.73,38.58,8.95,1.955,31.02,207.0,Very Unhealthy,,59.1,2.83,1007.6
2022-03-17,Delhi,India,129.47,197.88,38.42,23.53,2.705,32.37,189.0,Unhealthy,23.0,61.8,4.65,1015.7
2022-03-18,Delhi,India,162.94,238.99,54.0,18.17,2.047,14.96,213.0,Very Unhealthy,25.7,50.6,1.2,1023.1
2022-03-19,Delhi,India,175.54,270.61,49.42,20.77,1.89,27.0,225.0,Very Unhealthy,22.9,58.2,3.61,1005.2
2022-03-20,Delhi,India,126.0,204.89,63.09,18.99,1.881,27.39,187.0,Unhealthy,25.9,53.4,1.55,1012.1
2022-03-21,Delhi,India,,151.24,51.29,17.03,1.064,25.29,177.0,Unhealthy,28.5,63.5,5.35,1013.2
2022-03-22,Delhi,India,102.97,157.76,49.57,16.91,2.438,32.75,175.0,Unhealthy,25.8,45.0,2.93,1014.3
2022-03-23,Delhi,India,120.05,179.54,48.52,13.53,,28.14,184.0,Unhealthy,25.3,57.0,3.99,1006.2
2022-03-24,Delhi,India,111.77,269.25,35.56,7.4,1.003,26.57,180.0,Unhealthy,26.6,54.1,5.69,997.0
2022-03-25,Delhi,India,135.28,273.81,,13.84,,21.16,192.0,Unhealthy,25.9,66.4,6.81,1011.0
2022-03-26,Delhi,India,176.16,204.14,61.35,14.84,1.882,28.85,226.0,,34.8,61.8,2.23,1018.8
2022-03-27,Delhi,India,113.2,179.48,53.52,15.23,1.939,26.88,180.0,Unhealthy,27.9,,0.1,1017.0
2022-03-28,Delhi,India,95.52,135.59,44.59,,1.492,31.92,171.0,Unhealthy,23.8,51.7,2.45,
2022-03-29,Delhi,India,129.57,154.11,51.4,,0.944,15.32,189.0,Unhealthy,27.3,53.2,3.31,1012.8
2022-03-30,Delhi,India,127.47,241.08,34.65,10.49,,28.95,188.0,Unhealthy,30.7,,0.1,1002.8
2022-03-31,Delhi,India,,172.3,40.74,14.95,1.636,33.65,172.0,Unhealthy,26.0,48.1,4.36,1003.8
2022-04-01,Delhi,India,130.71,200.96,42.85,20.68,1.487,,190.0,Unhealthy,27.3,44.8,3.63,1006.5
2022-04-02,Delhi,India,98.68,213.17,48.94,12.31,2.202,,173.0,Unhealthy,31.6,59.2,5.95,1001.7
2022-04-03,Delhi,India,,155.23,44.78,12.43,1.673,39.09,179.0,Unhealthy,27.8,58.3,3.08,1013.5
2022-04-04,Delhi,India,118.22,,53.95,20.67,1.878,31.49,183.0,Unhealthy,25.5,54.3,5.19,1018.2
2022-04-05,Delhi,India,,232.01,47.64,,1.859,25.97,186.0,Unhealthy,29.4,31.6,4.19,991.1
2022-04-06,Delhi,India,69.36,211.39,47.29,9.97,,36.49,157.0,Unhealthy,27.5,72.9,3.5,1015.4
2022-04-07,Delhi,India,160.57,195.89,33.73,13.84,1.694,20.23,210.0,Very Unhealthy,28.2,49.1,5.16,1013.2
2022-04-08,Delhi,India,107.67,184.14,44.51,16.48,1.25,22.33,178.0,Unhealthy,31.8,51.7,0.95,1015.7
2022-04-09,Delhi,India,127.54,118.96,44.33,16.85,1.859,,188.0,Unhealthy,25.7,57.6,2.96,1010.1
2022-04-10,Delhi,India,138.07,253.33,,18.94,1.632,31.03,194.0,Unhealthy,31.3,56.0,3.74,1017.9
2022-04-11,Delhi,India,111.84,152.87,38.05,16.3,1.673,31.12,180.0,Unhealthy,31.2,52.0,4.86,1015.3
2022-04-12,Delhi,India,78.86,249.51,37.03,,1.191,,162.0,Unhealthy,29.8,52.8,2.89,1016.7
