ExpenseID,Date,Category,Amount,Quantity,MonthlyBudget,PaymentMethod,Description,Merchant,City
1,2025-05-21,Health,,15.0,49566.0,Debit Card,Expense 1,Flipkart,Rajkot
2,2025-11-07,Fuel,4775.0,13.0,55471.0,Wallet,Expense 2,Amazon,Vadodara
3,2025-10-13,Transport,1731.0,14.0,37066.0,Debit Card,Expense 3,DMart,Ahmedabad
4,2025-04-14,Food,16883.0,1.0,16707.0,UPI,Expense 4,Uber,Surat
5,2025-12-26,Bills,8567.0,7.0,10349.0,Cash,Expense 5,Amazon,Bangalore
6,2025-08-15,Fuel,2752.0,12.0,,Cash,Expense 6,DMart,Mumbai
7,2025-01-27,Travel,9609.0,6.0,23505.0,Net Banking,Expense 7,Reliance Fresh,Hyderabad
8,2025-07-22,Rent,3149.0,6.0,42733.0,Cash,Expense 8,DMart,Pune
9,2025-11-19,Bills,18955.0,12.0,43071.0,Wallet,Expense 9,Flipkart,Bangalore
10,2025-12-25,Shopping,13948.0,5.0,,Debit Card,Expense 10,Amazon,Vadodara
11,2025-11-20,Groceries,11596.0,1.0,57012.0,UPI,Expense 11,Swiggy,Delhi
12,2025-09-13,Food,3432.0,3.0,52124.0,Wallet,Expense 12,Swiggy,Hyderabad
13,2025-02-15,Groceries,19928.0,,31059.0,Net Banking,Expense 13,,Ahmedabad
14,2025-01-01,Education,4681.0,4.0,59571.0,Credit Card,Expense 14,Uber,Mumbai
15,2025-07-20,Entertainment,8819.0,9.0,49244.0,Net Banking,Expense 15,,Delhi
16,2025-09-19,Food,5736.0,7.0,6674.0,Net Banking,Expense 16,Uber,Jaipur
17,2025-11-04,Travel,2465.0,14.0,52883.0,Debit Card,Expense 17,Reliance Fresh,Rajkot
18,2025-01-08,Transport,13426.0,7.0,8475.0,Debit Card,Expense 18,Uber,Rajkot
19,2025-01-02,Transport,16449.0,1.0,57334.0,Cash,Expense 19,Amazon,Ahmedabad
20,2025-06-04,Food,14807.0,10.0,26034.0,Net Banking,Expense 20,Zomato,Delhi
21,2025-10-28,Transport,10041.0,9.0,49935.0,Debit Card,Expense 21,Flipkart,Vadodara
22,2025-01-16,Health,16156.0,13.0,22390.0,Debit Card,Expense 22,Big Bazaar,Pune
23,2025-05-28,Education,19369.0,12.0,18747.0,Net Banking,Expense 23,Reliance Fresh,Ahmedabad
24,2025-09-17,Bills,15411.0,14.0,22517.0,Credit Card,Expense 24,Ola,Hyderabad
25,2025-04-20,Rent,2828.0,11.0,54726.0,Cash,Expense 25,Big Bazaar,Jaipur
26,2025-09-22,Bills,12501.0,13.0,59077.0,UPI,Expense 26,DMart,Jaipur
27,2025-12-14,Rent,15028.0,11.0,50577.0,Net Banking,Expense 27,Medical Store,Surat
28,2025-08-25,Shopping,18560.0,15.0,52005.0,UPI,Expense 28,Big Bazaar,Surat
29,2025-02-21,Groceries,706.0,8.0,16181.0,Cash,Expense 29,Amazon,Mumbai
30,2025-03-02,Transport,16235.0,1.0,17105.0,Cash,Expense 30,Uber,Hyderabad
31,2025-12-18,Travel,1430.0,11.0,38093.0,Cash,Expense 31,Reliance Fresh,Ahmedabad
32,2025-08-18,Bills,4594.0,11.0,59844.0,Debit Card,Expense 32,Medical Store,Hyderabad
33,2025-05-16,Bills,5390.0,15.0,37985.0,Cash,Expense 33,Ola,Ahmedabad
34,2025-06-02,Groceries,4331.0,4.0,20172.0,UPI,Expense 34,,Pune
35,2025-05-14,Health,633.0,10.0,24285.0,Credit Card,Expense 35,Uber,Ahmedabad
36,2025-09-07,Rent,6105.0,2.0,21487.0,Credit Card,Expense 36,Amazon,Vadodara
37,2025-07-21,Bills,8470.0,13.0,25450.0,UPI,Expense 37,Medical Store,Ahmedabad
38,2025-07-23,Groceries,14038.0,14.0,31809.0,Cash,Expense 38,Reliance Fresh,Rajkot
39,2025-08-06,Transport,4237.0,1.0,23056.0,UPI,Expense 39,Swiggy,Ahmedabad
40,2025-06-18,Transport,6238.0,3.0,28246.0,Credit Card,Expense 40,DMart,Ahmedabad
41,2025-06-08,Transport,15967.0,13.0,,UPI,,Zomato,Vadodara
42,2025-08-25,Entertainment,15464.0,11.0,10376.0,Wallet,Expense 42,DMart,Hyderabad
43,2025-09-26,Entertainment,1875.0,9.0,15875.0,Wallet,Expense 43,Big Bazaar,Surat
44,2025-08-02,Bills,14834.0,8.0,9918.0,Credit Card,Expense 44,Medical Store,Pune
45,2025-06-09,Entertainment,14161.0,5.0,9077.0,Net Banking,Expense 45,Swiggy,Rajkot
46,2025-05-05,Health,8117.0,11.0,9578.0,UPI,Expense 46,Zomato,Ahmedabad
47,2025-05-10,Rent,19548.0,5.0,55404.0,Net Banking,Expense 47,Medical Store,Delhi
48,2025-05-17,Bills,12368.0,12.0,33320.0,Cash,Expense 48,Big Bazaar,Hyderabad
49,2025-12-19,Shopping,18236.0,15.0,15234.0,Wallet,Expense 49,Medical Store,Mumbai
50,2025-08-17,Medical,15835.0,13.0,46689.0,Credit Card,Expense 50,Flipkart,Ahmedabad
51,2025-11-05,Travel,4394.0,6.0,16807.0,UPI,Expense 51,Amazon,Ahmedabad
52,2025-07-18,Food,13042.0,2.0,48346.0,UPI,Expense 52,DMart,Vadodara
53,2025-06-21,Transport,16819.0,7.0,57819.0,Wallet,Expense 53,Swiggy,Rajkot
54,2025-10-15,Health,17637.0,15.0,26179.0,UPI,Expense 54,Flipkart,Hyderabad
55,2025-03-13,Bills,9950.0,7.0,29072.0,Debit Card,Expense 55,Big Bazaar,Vadodara
56,2025-05-15,Fuel,7191.0,15.0,17510.0,Credit Card,Expense 56,DMart,Vadodara
57,2025-10-20,Bills,14028.0,11.0,15738.0,Cash,Expense 57,Ola,Mumbai
58,2025-10-06,Medical,8702.0,14.0,19892.0,Credit Card,Expense 58,Ola,Bangalore
59,2025-04-25,Fuel,14663.0,6.0,35523.0,Credit Card,Expense 59,DMart,Pune
60,2025-07-21,Entertainment,7702.0,,12077.0,UPI,Expense 60,Amazon,Hyderabad
61,2025-11-16,Transport,5033.0,5.0,12794.0,Wallet,Expense 61,Medical Store,Bangalore
62,2025-03-21,Medical,13359.0,5.0,36508.0,Net Banking,Expense 62,,Ahmedabad
63,2025-04-13,Transport,9638.0,7.0,41144.0,Credit Card,Expense 63,Reliance Fresh,Ahmedabad
64,2025-05-12,Transport,15572.0,12.0,11995.0,Debit Card,Expense 64,Reliance Fresh,Pune
65,2025-08-06,Rent,2241.0,11.0,59172.0,Net Banking,Expense 65,Ola,Delhi
66,2025-10-15,Fuel,11630.0,5.0,35674.0,Debit Card,Expense 66,Big Bazaar,Pune
67,2025-05-25,Health,5842.0,4.0,17314.0,Debit Card,Expense 67,Swiggy,Jaipur
68,2025-12-05,Transport,,13.0,31610.0,Credit Card,Expense 68,DMart,Ahmedabad
69,2025-11-13,Medical,14422.0,,19672.0,Credit Card,Expense 69,Ola,Delhi
70,2025-04-21,Food,19080.0,1.0,18404.0,Debit Card,Expense 70,Reliance Fresh,Bangalore
71,2025-11-23,Education,10876.0,1.0,54177.0,UPI,Expense 71,Zomato,Delhi
72,2025-01-22,Fuel,5407.0,15.0,30950.0,Debit Card,Expense 72,Amazon,Jaipur
73,2025-04-01,Shopping,701.0,,36359.0,Wallet,Expense 73,Uber,Surat
74,2025-05-28,Fuel,17441.0,8.0,20548.0,Cash,,Swiggy,Ahmedabad
75,2025-11-12,Shopping,19309.0,11.0,,Credit Card,Expense 75,Big Bazaar,Vadodara
76,2025-01-10,Travel,14046.0,3.0,,Net Banking,Expense 76,Zomato,Mumbai
77,2025-06-25,Fuel,4060.0,1.0,46710.0,Debit Card,Expense 77,,Mumbai
78,2025-01-17,Medical,13059.0,15.0,41952.0,Credit Card,Expense 78,Zomato,Ahmedabad
79,2025-05-05,Fuel,9319.0,4.0,46177.0,Wallet,Expense 79,Uber,Rajkot
80,2025-11-11,Bills,,13.0,14320.0,Cash,Expense 80,DMart,Ahmedabad
81,2025-03-21,Health,13451.0,5.0,22253.0,Wallet,Expense 81,Zomato,Delhi
82,2025-06-04,Fuel,10309.0,6.0,48876.0,Net Banking,Expense 82,Ola,Mumbai
83,2025-07-22,Food,19014.0,13.0,35842.0,Debit Card,Expense 83,Zomato,Vadodara
84,2025-03-07,Travel,12143.0,3.0,33972.0,Debit Card,Expense 84,Flipkart,Jaipur
85,2025-01-20,Entertainment,3477.0,15.0,40786.0,Cash,Expense 85,,Pune
86,2025-07-14,Entertainment,9874.0,14.0,46090.0,Credit Card,Expense 86,Ola,Mumbai
87,2025-04-03,Travel,10190.0,7.0,6256.0,Cash,,Zomato,Delhi
88,2025-06-28,Education,3321.0,,51099.0,Net Banking,Expense 88,Uber,Rajkot
89,2025-02-12,Health,3683.0,13.0,,Debit Card,Expense 89,Ola,Jaipur
90,2025-10-08,Health,9187.0,9.0,18864.0,UPI,Expense 90,Ola,Mumbai
91,2025-01-17,Entertainment,2839.0,14.0,23676.0,Net Banking,Expense 91,Reliance Fresh,Jaipur
92,2025-01-18,Education,9976.0,12.0,,Cash,Expense 92,Ola,Pune
93,2025-03-01,Medical,19672.0,4.0,,Credit Card,Expense 93,Reliance Fresh,Vadodara
94,2025-11-26,Groceries,,14.0,45706.0,Debit Card,Expense 94,Zomato,Vadodara
95,2025-08-10,Education,18768.0,12.0,17261.0,UPI,Expense 95,Amazon,Surat
96,2025-08-20,Entertainment,19280.0,,,Cash,Expense 96,,Vadodara
97,2025-05-21,Transport,3395.0,7.0,6986.0,UPI,Expense 97,Big Bazaar,Bangalore
98,2025-11-23,Education,17955.0,10.0,19120.0,Net Banking,Expense 98,Flipkart,Hyderabad
99,2025-09-21,Education,13748.0,3.0,37268.0,Cash,Expense 99,Amazon,Delhi
100,2025-04-25,Travel,3592.0,12.0,45515.0,Debit Card,Expense 100,DMart,Jaipur
101,2025-01-17,Transport,12158.0,11.0,54673.0,Cash,Expense 101,DMart,Mumbai
102,2025-08-13,Rent,9915.0,8.0,19607.0,Debit Card,Expense 102,Reliance Fresh,Vadodara
103,2025-07-09,Bills,18849.0,3.0,34100.0,Cash,Expense 103,Reliance Fresh,Surat
104,2025-09-08,Rent,12395.0,5.0,22707.0,Cash,Expense 104,Amazon,Hyderabad
105,2025-05-25,Transport,15606.0,10.0,31942.0,UPI,Expense 105,Medical Store,Mumbai
106,2025-05-21,Bills,9111.0,15.0,28744.0,Debit Card,Expense 106,Reliance Fresh,Jaipur
107,2025-01-05,Fuel,506.0,15.0,25743.0,Cash,Expense 107,Big Bazaar,Vadodara
108,2025-07-11,Groceries,5308.0,3.0,5047.0,UPI,Expense 108,Medical Store,Rajkot
109,2025-05-24,Medical,14403.0,2.0,32508.0,Cash,Expense 109,Medical Store,Ahmedabad
110,2025-09-07,Medical,4385.0,1.0,43146.0,Cash,Expense 110,Swiggy,Vadodara
111,2025-12-02,Food,7443.0,13.0,38786.0,Net Banking,Expense 111,DMart,Pune
112,2025-02-14,Education,8328.0,9.0,18175.0,Cash,Expense 112,Amazon,Vadodara
113,2025-10-02,Fuel,6601.0,4.0,34349.0,Wallet,Expense 113,Big Bazaar,Pune
114,2025-08-14,Fuel,19028.0,5.0,8695.0,Debit Card,Expense 114,Zomato,Rajkot
115,2025-07-27,Travel,13407.0,2.0,20081.0,Net Banking,Expense 115,Swiggy,Surat
116,2025-10-24,Groceries,3648.0,3.0,21245.0,Cash,Expense 116,Uber,Hyderabad
117,2025-05-13,Fuel,8141.0,8.0,37089.0,Wallet,Expense 117,Ola,Vadodara
118,2025-03-17,Fuel,6690.0,1.0,26462.0,Wallet,Expense 118,Ola,Pune
119,2025-01-21,Shopping,9197.0,2.0,37353.0,Wallet,Expense 119,Flipkart,Ahmedabad
120,2025-05-28,Education,11946.0,13.0,22697.0,Net Banking,Expense 120,Swiggy,Ahmedabad
121,2025-07-14,Bills,453.0,13.0,38575.0,Net Banking,Expense 121,Medical Store,Mumbai
122,2025-03-19,Food,4478.0,12.0,28040.0,Net Banking,Expense 122,Zomato,Pune
123,2025-08-21,Fuel,12650.0,8.0,28787.0,Cash,Expense 123,Swiggy,Rajkot
124,2025-02-12,Travel,6294.0,1.0,31851.0,Wallet,Expense 124,Medical Store,Bangalore
125,2025-11-06,Groceries,17580.0,9.0,56928.0,Credit Card,Expense 125,,Hyderabad
126,2025-04-02,Entertainment,11738.0,9.0,17972.0,Net Banking,Expense 126,Medical Store,Rajkot
127,2025-11-12,Transport,10622.0,15.0,46640.0,Wallet,Expense 127,Medical Store,Jaipur
128,2025-09-09,Fuel,2930.0,14.0,57182.0,Cash,Expense 128,Uber,Rajkot
129,2025-09-25,Fuel,11782.0,1.0,6323.0,Wallet,Expense 129,DMart,Vadodara
130,2025-05-22,Fuel,15493.0,3.0,7240.0,Credit Card,Expense 130,Ola,Bangalore
131,2025-12-21,Bills,4167.0,9.0,42713.0,Net Banking,Expense 131,Swiggy,Bangalore
132,2025-08-03,Travel,13352.0,9.0,16384.0,Cash,Expense 132,Uber,Ahmedabad
133,2025-03-26,Travel,13954.0,7.0,,Credit Card,Expense 133,Uber,Ahmedabad
134,2025-01-21,Groceries,6271.0,6.0,42272.0,Cash,Expense 134,Swiggy,Surat
135,2025-09-21,Transport,3250.0,8.0,47477.0,Credit Card,Expense 135,Reliance Fresh,Bangalore
136,2025-07-27,Health,7703.0,11.0,57857.0,Cash,Expense 136,Ola,Delhi
137,2025-02-04,Medical,12427.0,,39736.0,UPI,Expense 137,Zomato,Rajkot
138,2025-02-13,Bills,16676.0,8.0,9802.0,UPI,Expense 138,DMart,Ahmedabad
139,2025-10-28,Shopping,14597.0,5.0,43912.0,UPI,Expense 139,Medical Store,Delhi
140,2025-04-18,Entertainment,15929.0,8.0,,Cash,Expense 140,Zomato,Rajkot
141,2025-01-27,Entertainment,2186.0,10.0,8346.0,Wallet,Expense 141,,Rajkot
142,2025-09-15,Entertainment,5594.0,3.0,,Net Banking,,DMart,Ahmedabad
143,2025-04-03,Bills,2449.0,2.0,8465.0,Wallet,Expense 143,Big Bazaar,Ahmedabad
144,2025-02-08,Rent,7516.0,7.0,27034.0,Net Banking,Expense 144,,Surat
145,2025-07-13,Fuel,5539.0,4.0,20720.0,UPI,Expense 145,Flipkart,Jaipur
146,2025-08-26,Groceries,18760.0,11.0,54154.0,Net Banking,Expense 146,Ola,Delhi
147,2025-06-08,Shopping,13573.0,6.0,34193.0,Debit Card,Expense 147,Medical Store,Rajkot
148,2025-04-20,Travel,1578.0,15.0,,Cash,Expense 148,Swiggy,Pune
149,2025-01-16,Medical,5054.0,13.0,40683.0,Net Banking,Expense 149,Big Bazaar,Surat
150,2025-02-25,Transport,15735.0,8.0,38244.0,Wallet,Expense 150,Big Bazaar,Delhi
151,2025-07-18,Shopping,9892.0,1.0,8188.0,Credit Card,Expense 151,Amazon,Ahmedabad
152,2025-05-09,Food,19568.0,2.0,6256.0,UPI,Expense 152,Ola,Jaipur
153,2025-03-22,Bills,13195.0,15.0,51006.0,Credit Card,Expense 153,Medical Store,Surat
154,2025-08-20,Rent,19868.0,10.0,30115.0,Debit Card,Expense 154,Amazon,Vadodara
155,2025-07-28,Entertainment,15265.0,7.0,42890.0,UPI,Expense 155,Amazon,Mumbai
156,2025-06-07,Transport,8566.0,6.0,48169.0,Wallet,Expense 156,,Bangalore
