OrderID,Date,Product,Category,Region,Salesperson,Quantity,UnitPrice,DiscountPct,Sales,CustomerRating
100001,2025-10-16,Chair,Clothing,South,SP048,4.0,54.9,10.0,197.64,1.0
100002,2025-11-23,Laptop,Electronics,North,SP014,,178.44,15.0,2730.13,2.0
100003,2025-06-01,Mixer,Sports,South,SP029,20.0,,5.0,1100.86,5.0
100004,2024-10-11,Headphones,Home,East,SP010,1.0,1518.82,5.0,1442.88,2.0
100005,2024-12-10,Book,Home,East,SP003,4.0,190.03,0.0,760.12,4.0
100006,2025-07-03,Phone,Beauty,East,SP041,4.0,1946.37,15.0,6617.66,5.0
100007,2025-01-05,Laptop,Books,South,SP050,19.0,388.62,0.0,7383.78,3.0
100008,2024-03-22,Watch,Sports,East,SP011,8.0,1733.63,15.0,11788.68,3.0
100009,2024-12-29,Phone,Beauty,South,SP035,7.0,1342.0,25.0,7045.5,2.0
100010,2024-06-16,Mixer,Clothing,East,SP050,15.0,762.01,25.0,8572.61,1.0
100011,2024-08-22,Watch,Electronics,South,SP037,2.0,1611.07,,2738.82,3.0
100012,2024-08-05,Bag,Clothing,East,SP009,16.0,794.29,25.0,9531.48,2.0
100013,2025-07-28,Headphones,Beauty,,SP024,18.0,529.17,20.0,7620.05,
100014,2024-05-21,Phone,Clothing,South,SP044,17.0,989.56,0.0,16822.52,4.0
100015,2025-09-02,Bag,Beauty,East,SP036,3.0,772.61,20.0,1854.26,1.0
100016,2025-11-27,Watch,Books,East,SP008,4.0,1365.01,20.0,4368.03,3.0
100017,2025-03-21,Watch,Beauty,South,SP033,6.0,910.18,25.0,4095.81,
100018,2025-10-02,Camera,Clothing,South,SP024,10.0,1684.13,20.0,13473.04,2.0
100019,2025-07-06,Book,Sports,North,SP008,17.0,1837.39,20.0,24988.5,3.0
100020,2024-11-10,Phone,Electronics,West,SP005,8.0,120.56,20.0,771.58,5.0
100021,2024-05-08,Shoes,Home,West,SP014,5.0,1321.2,20.0,5284.8,5.0
100022,2025-12-07,Book,Sports,West,SP008,7.0,1427.33,15.0,8492.61,2.0
100023,2024-08-18,Mixer,Clothing,South,SP001,3.0,679.48,20.0,1630.75,1.0
100024,2025-12-25,Book,Electronics,South,SP018,,461.74,0.0,923.48,4.0
100025,2024-08-07,Camera,Sports,South,SP031,18.0,268.96,20.0,3873.02,4.0
100026,2024-07-13,Book,Sports,West,SP030,4.0,,15.0,674.49,1.0
100027,2025-11-20,Book,Electronics,South,SP013,4.0,125.92,25.0,377.76,2.0
100028,2025-07-03,Watch,Sports,South,SP005,15.0,284.66,5.0,4056.41,4.0
100029,2025-07-17,Laptop,Electronics,South,SP011,4.0,105.92,20.0,338.94,4.0
100030,2025-05-12,Laptop,Clothing,West,SP001,16.0,,15.0,5867.45,4.0
100031,2024-09-28,Mixer,Books,West,SP010,15.0,574.07,25.0,6458.29,2.0
100032,2024-10-30,Mixer,Electronics,East,SP004,7.0,1937.58,20.0,10850.45,1.0
100033,2025-08-21,Shoes,Electronics,North,SP012,16.0,1008.19,20.0,12904.83,1.0
100034,2025-09-01,Headphones,Electronics,South,SP038,3.0,1352.05,5.0,3853.34,5.0
100035,2024-02-10,Camera,Beauty,East,SP017,20.0,168.56,25.0,2528.4,2.0
100036,2025-11-16,Shoes,Books,East,SP030,11.0,481.18,15.0,4499.03,3.0
100037,2024-03-15,Phone,Electronics,South,SP033,1.0,,20.0,735.42,3.0
